State,Date,Work Search,Benefit Year Earnings,Separation Issues,Able + Available ,Employment Service Registration,Base Period Wages,Other Eligibility Issues,All Other Causes,First Payment Timeliness (14 days),First Payment Timeliness (21 days),Improper Payment Rate,Fraud Rate,Nonmonetary Determination,Quality (Separation),Quality (Non - Separation)
NC,6/30/2021,1622,635,1186,1289,776,1316,605,568,87,81,15,16,71,21,29
ND,6/30/2021,1745,1264,1583,362,861,253,1713,1164,88,85,20,21,85,58,55
NE,6/30/2021,1384,1162,1487,424,1014,208,463,1654,57,83,15,21,53,83,90
NH,6/30/2021,1369,811,921,1597,1784,579,504,1024,51,54,20,13,76,53,29
NJ,6/30/2021,901,962,814,427,1051,558,262,1061,60,81,11,5,78,62,41
NM,6/30/2021,924,1676,498,1395,608,748,231,1351,55,79,20,7,73,57,65
NV,6/30/2021,432,1068,1587,1324,1021,303,1214,1789,55,48,5,22,70,53,39
NY,6/30/2021,552,752,534,707,1472,1154,1005,927,84,73,19,16,55,43,58
OH,6/30/2021,703,1697,1667,1739,697,1405,898,1390,68,83,11,21,62,43,61
OK,6/30/2021,471,1181,245,1331,1785,746,406,558,76,69,13,3,90,28,36
OR,6/30/2021,247,805,1640,785,930,1331,225,322,51,83,9,12,95,81,40
PA,6/30/2021,855,786,1798,1261,515,1114,1315,211,68,63,22,9,84,25,27
PR,6/30/2021,1747,720,521,1358,1322,1710,1035,588,46,50,5,20,61,47,52
RI,6/30/2021,703,1527,578,902,905,225,991,1675,54,68,8,14,77,76,53
SC,6/30/2021,1593,320,1299,491,1552,903,1725,1097,60,68,19,10,67,31,69
SD,6/30/2021,610,943,1099,849,944,1626,1785,1170,67,70,15,6,75,52,41
TN,6/30/2021,1235,1204,1100,893,650,383,1747,1290,70,51,19,10,66,77,23
TX,6/30/2021,382,709,806,1792,617,1641,683,382,85,51,19,7,79,88,27
US,6/30/2021,234,403,819,947,794,821,593,698,69,48,19,6,60,27,72
UT,6/30/2021,1289,825,449,605,490,460,1748,1570,65,47,18,19,95,71,78
VA,6/30/2021,507,873,1704,396,610,478,1319,1619,47,55,20,6,62,71,24
VI,6/30/2021,1325,1649,259,1508,726,655,920,364,71,89,21,19,76,73,55
VT,6/30/2021,661,730,650,599,1783,1161,1619,818,70,81,6,16,76,59,59
WA,6/30/2021,459,520,1408,1627,1761,785,818,788,74,90,13,7,58,80,24
WI,6/30/2021,1793,1250,556,1015,1180,896,1761,963,47,63,12,7,67,67,47
WV,6/30/2021,1485,843,1543,233,775,725,691,961,66,84,14,18,93,86,82
WY,6/30/2021,1198,1380,1364,1771,564,614,689,1261,64,90,18,7,77,80,88
AK,6/30/2022,304,201,654,1590,1167,461,1767,556,60,74,20,14,57,20,52
AL,6/30/2022,572,1111,1345,1291,1200,981,1707,1648,90,80,10,7,59,49,48
AR,6/30/2022,634,874,606,1643,1487,483,502,919,80,90,20,6,92,67,95
AZ,6/30/2022,1404,1371,242,857,1524,433,319,421,51,61,4,6,58,44,62
CA,6/30/2022,401,511,237,707,1390,537,779,250,87,78,19,13,78,57,36
CO,6/30/2022,1411,304,1307,1380,1147,1579,843,361,79,60,5,10,55,71,33
CT,6/30/2022,861,1409,362,1626,1212,677,728,526,80,87,7,18,84,52,30
DC,6/30/2022,613,1108,1752,1279,722,1376,379,694,77,57,16,12,90,68,55
DE,6/30/2022,1121,965,1496,1642,1437,1280,539,1422,73,81,3,17,80,65,24
FL,6/30/2022,1417,727,1034,1527,379,706,408,776,80,66,19,16,84,37,91
GA,6/30/2022,795,1473,1798,1671,844,822,1031,642,57,68,21,14,60,90,65
HI,6/30/2022,1160,908,462,837,1493,1087,1211,697,76,77,4,17,80,90,79
IA,6/30/2022,746,857,450,253,1311,1791,914,581,64,52,4,11,79,68,67
ID,6/30/2022,1658,1343,916,1029,1105,1285,851,1148,78,81,18,20,73,93,53
IL,6/30/2022,1728,1727,993,1430,516,1278,1787,1132,75,73,7,15,56,66,63
IN,6/30/2022,1039,515,226,1580,1799,1055,1157,1673,88,80,10,14,78,42,58
KS,6/30/2022,1703,1757,844,1210,603,485,1114,556,53,74,10,15,52,59,94
KY,6/30/2022,1165,1285,574,967,1469,1185,500,530,49,79,20,14,83,48,31
LA,6/30/2022,766,463,1601,1652,1681,1741,1513,1150,69,87,10,17,74,23,75
MA,6/30/2022,322,1785,1109,821,434,1240,1051,1301,88,46,15,21,67,75,92
MD,6/30/2022,1206,1041,1187,1276,372,691,750,1764,51,55,22,8,53,62,83
ME,6/30/2022,732,303,946,1170,874,1645,898,1463,88,76,11,3,69,75,33
MI,6/30/2022,375,283,410,1054,1523,1546,727,1076,75,76,10,15,56,62,88
MN,6/30/2022,507,571,522,299,997,229,301,700,57,54,16,15,95,22,40
MO,6/30/2022,1280,1799,892,405,1776,1558,1530,1425,59,66,12,3,52,30,37
MS,6/30/2022,328,631,724,1560,1447,630,896,1248,89,81,17,19,67,59,78
MT,6/30/2022,846,316,1343,423,1735,1281,1272,623,89,59,11,16,92,65,91
NC,6/30/2022,374,617,926,1703,1099,300,362,1441,62,78,5,17,71,63,51
ND,6/30/2022,1646,1375,1788,358,1477,1593,500,566,54,65,8,16,73,52,53
NE,6/30/2022,446,750,1477,1646,1157,919,1644,412,62,60,9,14,74,54,64
NH,6/30/2022,1774,204,1457,871,848,945,535,1387,49,58,22,22,79,32,93
NJ,6/30/2022,201,255,1320,1490,322,524,897,554,70,71,22,17,64,57,25
NM,6/30/2022,1047,233,1470,793,278,1083,354,852,70,49,21,14,82,45,65
NV,6/30/2022,209,563,1493,952,211,1269,614,1722,46,56,7,3,60,46,67
NY,6/30/2022,1603,1492,1366,1031,1131,912,1628,1146,84,65,21,9,56,64,48
OH,6/30/2022,1673,1434,1406,363,1675,1715,1369,1654,78,72,5,9,61,80,61
OK,6/30/2022,1119,410,867,1255,1374,1561,1279,345,88,48,12,15,70,90,43
OR,6/30/2022,309,1648,231,616,716,869,867,535,59,51,19,19,91,57,29
PA,6/30/2022,833,1694,832,1341,1182,1561,435,1384,63,69,11,14,66,33,79
PR,6/30/2022,1609,694,1350,1511,445,1481,552,1421,71,46,12,12,59,70,38
RI,6/30/2022,1264,714,1609,539,1130,1575,1144,1115,46,58,10,9,58,76,79
SC,6/30/2022,1714,598,443,1038,555,1183,790,986,72,85,14,3,74,48,30
SD,6/30/2022,855,1289,813,832,467,947,1189,1617,83,55,10,12,79,72,55
TN,6/30/2022,710,850,1630,344,631,930,947,1287,79,90,12,5,95,21,38
TX,6/30/2022,1479,1361,582,1001,1498,767,1282,1595,80,64,12,8,74,72,95
US,6/30/2022,484,283,1752,875,482,479,1149,1116,54,85,10,18,95,58,32
UT,6/30/2022,1540,436,1599,707,1572,1330,1415,430,89,50,13,3,80,21,57
VA,6/30/2022,1267,599,1386,435,750,1345,1566,1460,51,63,19,3,87,76,59
VI,6/30/2022,1563,1780,1083,1116,1350,953,560,1149,85,47,9,20,88,51,68
VT,6/30/2022,793,1624,884,794,1344,261,1673,792,54,74,4,18,92,60,51
WA,6/30/2022,866,696,626,819,1070,1784,954,767,87,60,16,18,83,63,58
WI,6/30/2022,655,210,1300,1264,1347,314,940,1259,67,53,3,9,50,69,53
WV,6/30/2022,1777,527,1027,533,1099,250,1750,1233,80,55,21,15,51,24,41
WY,6/30/2022,1721,1135,567,646,222,1688,1341,1595,64,71,8,8,63,64,33
AK,6/30/2023,884,1483,736,1533,481,431,1305,1766,92.2,86.3,20,17,80,94,39
AL,6/30/2023,677,485,1201,1481,1584,1513,991,1421,41.1,51.9,12,10,66,28,71
AR,6/30/2023,906,647,694,1759,1528,1112,1136,1102,69.8,42.6,4,19,51,81,20
AZ,6/30/2023,1267,1686,432,230,1479,1379,620,666,67,38.1,10,10,59,87,72
CA,6/30/2023,1520,1800,691,1055,216,968,1720,1464,68.3,45.8,11,4,68,58,75
CO,6/30/2023,1763,1005,323,597,1436,1359,1459,843,42.6,45.9,12,21,55,84,65
CT,6/30/2023,1192,1544,822,949,1560,1637,1381,512,62.3,69.1,5,13,64,24,80
DC,6/30/2023,1716,1356,678,701,628,341,1789,1039,45.8,44.3,10,10,63,37,55
DE,6/30/2023,1271,1178,312,778,1175,962,1217,1686,63.2,41.1,17,5,63,32,20
FL,6/30/2023,1675,265,352,897,1319,1796,1145,366,72.1,4.9,4,8,58,36,84
GA,6/30/2023,1608,570,811,804,1523,771,1761,832,68,55.2,16,20,81,54,68
HI,6/30/2023,715,671,899,1646,644,1115,566,1199,71,48.1,6,21,57,35,58
IA,6/30/2023,1312,1068,1409,424,1599,346,1796,1227,85.4,79.4,6,4,82,51,27
ID,6/30/2023,963,854,1252,1225,1659,735,1085,796,93.4,83.3,17,4,65,50,33
IL,6/30/2023,816,1065,652,248,1608,1142,232,1768,74.3,77.7,7,19,61,76,94
IN,6/30/2023,1536,447,751,1122,507,663,607,982,72.7,62.8,19,14,71,49,89
KS,6/30/2023,387,547,275,1415,1374,1138,570,215,68.7,63,21,4,70,25,26
KY,6/30/2023,1466,1592,1095,1524,1466,1292,1608,909,48.7,25.6,3,9,62,78,44
LA,6/30/2023,1221,992,1306,1296,457,241,1406,840,65.5,73.9,8,17,74,38,64
MA,6/30/2023,639,1712,320,851,1739,411,1445,433,73.1,65.9,16,4,84,89,67
MD,6/30/2023,600,961,909,842,701,900,844,1644,59.8,51.3,14,15,75,30,64
ME,6/30/2023,981,817,1340,1041,512,401,297,937,81.3,95.7,21,7,76,75,29
MI,6/30/2023,1439,763,1341,1405,1359,732,672,1159,69.3,61.1,14,12,84,94,81
MN,6/30/2023,1707,651,1499,844,1517,241,228,1107,89,82.1,19,15,74,65,71
MO,6/30/2023,481,849,1576,479,427,1662,664,1718,80.2,77.3,6,5,91,75,22
MS,6/30/2023,985,289,1028,1085,1160,1050,1088,653,81.4,91.7,7,17,69,72,32
MT,6/30/2023,599,1342,519,1481,881,1335,908,1616,87.8,87,7,16,56,72,49
NC,6/30/2023,700,1521,834,1351,1566,1103,278,894,64.1,57.2,13,18,55,44,58
ND,6/30/2023,1351,425,505,1068,526,981,1675,438,97.9,91.3,18,9,93,51,24
NE,6/30/2023,400,866,502,1510,626,572,331,897,66.8,84.4,18,9,63,29,56
NH,6/30/2023,1001,1696,933,1746,1789,940,1197,763,75.1,78.4,19,5,66,81,30
NJ,6/30/2023,1786,637,1057,712,383,943,849,913,61.1,57,16,6,57,56,37
NM,6/30/2023,959,285,1420,1682,1319,1695,1738,1518,61.1,34.2,8,10,85,83,75
NV,6/30/2023,530,1769,1180,754,1780,384,923,627,56.1,12.4,18,3,82,42,92
NY,6/30/2023,330,819,1273,707,1040,1690,1402,857,66.6,54.2,22,6,64,60,42
OH,6/30/2023,1549,277,1444,1095,423,1106,743,1361,64.5,60.4,4,20,81,95,56
OK,6/30/2023,388,284,849,1017,453,337,840,1467,82,80.9,16,12,95,24,58
OR,6/30/2023,262,546,415,1365,1195,906,1071,1047,88.5,82.3,20,19,66,88,58
PA,6/30/2023,1597,1785,780,292,962,1772,421,276,45.8,40,11,13,60,79,79
PR,6/30/2023,1336,1791,648,899,1733,1588,879,754,73.6,70.3,19,12,86,59,24
RI,6/30/2023,573,694,1279,1150,296,657,815,337,87.5,68.9,21,10,70,89,59
SC,6/30/2023,1620,821,1550,1218,991,1008,377,1438,85.6,93.6,16,11,67,54,86
SD,6/30/2023,1651,469,389,1583,1176,1671,1350,1570,92.4,89.2,8,21,92,35,46
TN,6/30/2023,211,1361,1158,911,1283,1776,910,837,50.6,57.8,14,21,56,65,51
TX,6/30/2023,1692,571,794,1537,287,653,850,725,73.2,71.2,18,4,62,33,37
US,6/30/2023,1620,1038,395,463,322,969,1466,1119,68.1,58.2,12,17,56,46,63
UT,6/30/2023,961,376,400,1218,303,471,1476,646,88.5,92,10,16,73,82,26
VA,6/30/2023,768,667,941,1202,226,1633,1614,1070,46.4,28.5,19,18,92,46,39
VI,6/30/2023,1655,595,392,621,667,602,1285,262,43.2,65.1,20,13,61,75,51
VT,6/30/2023,921,1449,1532,1068,1708,484,1392,372,73.2,32.3,18,4,90,59,68
WA,6/30/2023,1379,358,616,477,883,510,329,391,56.7,59.5,18,14,82,45,55
WI,6/30/2023,1654,292,504,505,1051,606,1416,884,85,90.2,8,15,78,46,47
WV,6/30/2023,653,1768,847,291,800,1272,962,1439,82.5,80.1,9,4,94,46,39
WY,6/30/2023,214,1291,714,343,1431,1000,1446,643,94,90.8,12,16,69,25,70
AK,6/30/2024,1391,553,1664,687,1180,1170,989,1068,94.8,91.3,14,8,52,35,51
AL,6/30/2024,1672,1270,816,361,864,798,1484,919,32.8,30.9,17,17,65,49,74
AR,6/30/2024,680,496,627,411,565,523,1017,1727,61.3,11.6,5,21,67,94,57
AZ,6/30/2024,545,1653,657,1278,1393,1189,438,1686,52.1,20,8,20,87,82,68
CA,6/30/2024,1550,1049,630,1024,476,626,877,311,77.5,71.3,20,7,51,85,80
CO,6/30/2024,548,655,265,1528,1532,225,1088,1575,37.4,42.5,8,4,65,32,29
CT,6/30/2024,1457,1580,1387,1306,1193,1293,1030,527,70.1,83.4,5,21,91,78,52
DC,6/30/2024,1290,860,463,1248,1155,1227,1390,659,61.6,46.3,17,8,65,20,30
DE,6/30/2024,1732,1777,855,1510,1004,407,208,1367,63.9,41.5,7,18,56,86,31
FL,6/30/2024,1301,637,792,1644,528,1216,1244,324,77.4,18.2,15,8,90,65,29
GA,6/30/2024,456,1194,1435,849,1239,846,689,270,72.4,59.2,9,6,95,93,74
HI,6/30/2024,1252,1489,419,1304,811,1480,300,455,64.7,34.7,5,10,60,48,84
IA,6/30/2024,1234,1761,1329,769,1286,1617,620,877,81,83.9,10,8,84,39,45
ID,6/30/2024,1153,211,377,327,778,1680,934,312,92.5,75.2,9,12,87,91,46
IL,6/30/2024,1002,1062,1547,600,376,1505,1300,1189,84.3,82.7,17,21,85,89,44
IN,6/30/2024,1455,1612,878,447,1326,813,972,934,78.5,70.1,10,15,85,59,90
KS,6/30/2024,300,748,1784,506,728,836,1263,330,76.5,59.9,15,4,77,36,66
KY,6/30/2024,1134,1238,318,804,1033,934,1565,344,61.2,50.2,10,4,80,92,49
LA,6/30/2024,805,1377,1694,1603,1297,1502,1793,1515,64.8,76.2,7,19,57,53,64
MA,6/30/2024,1663,820,1771,505,1034,893,1012,1595,71.1,57.2,10,5,91,58,47
MD,6/30/2024,1495,648,423,846,1604,1552,1549,1295,64.5,42.4,13,19,80,27,72
ME,6/30/2024,956,567,453,1362,1044,1473,1267,1767,85.4,90.1,16,5,55,52,72
MI,6/30/2024,1242,835,1466,556,1580,232,474,1309,77.1,70.5,21,4,64,59,83
MN,6/30/2024,1085,256,1361,213,484,706,717,1177,88.6,83,17,3,79,81,27
MO,6/30/2024,887,1452,964,382,1140,1392,876,1190,73.4,67.7,12,8,74,85,48
MS,6/30/2024,1101,325,1005,1698,1284,758,855,1119,78,77.1,6,11,83,37,94
MT,6/30/2024,1456,863,833,1749,1675,793,1119,1572,62.9,64.4,5,19,50,59,20
NC,6/30/2024,1224,840,1599,1036,1739,1042,1228,533,65.6,67.3,11,5,90,89,91
ND,6/30/2024,1408,1331,1670,607,846,1744,889,1240,98.3,95.9,7,20,53,88,80
NE,6/30/2024,1364,1419,273,1686,258,278,965,1555,88.3,97.3,3,18,60,75,51
NH,6/30/2024,1252,1232,515,1541,234,1313,1265,814,83.5,91,11,10,72,72,74
NJ,6/30/2024,819,532,1620,1179,865,1191,378,1443,72.3,70.8,3,14,66,78,88
NM,6/30/2024,1577,748,801,436,223,240,482,264,63.9,32.1,17,13,87,87,84
NV,6/30/2024,536,1000,1375,1391,276,699,754,1619,81.8,61.2,15,21,54,72,87
